frame,width,height,angle,measurement
0,730,424,19.03072401696669,730
1,764,454,-151.9936388094047,764
2,746,447,-159.42596552527357,746
3,756,479,27.14103901834332,756
4,753,487,27.279934677709058,753
5,766,436,19.35708768451274,766
6,772,433,20.14791304462213,772
7,850,551,32.71904559490062,850
8,786,590,-160.6651914621736,786
9,781,435,-162.67655174694502,781
10,791,468,-160.90124643751872,791
